canonical_form_1,category_1,severity_rating,severity_description
ku kluxer,racial / ethnic slurs,2.6,Severe
ladyboy,sexual orientation / gender,2.2,Strong
lesbian,sexual orientation / gender,2.2,Strong
loose,sexual orientation / gender,1.4,Mild
mongoloid,mental disability,2.2,Strong
man chowder,bodily fluids / excrement,1.0,Mild
man seed,bodily fluids / excrement,1.0,Mild
meat curtains,sexual anatomy / sexual acts,2.0,Strong
milf,sexual anatomy / sexual acts,1.8,Strong
molest,sexual anatomy / sexual acts,2.2,Strong
mong,racial / ethnic slurs,1.8,Strong
mongrel,racial / ethnic slurs,2.6,Severe
muff,sexual anatomy / sexual acts,1.8,Strong
mushroom tip,sexual anatomy / sexual acts,1.4,Mild
niggger,racial / ethnic slurs,2.8,Severe
niggers,racial / ethnic slurs,3.0,Severe
nipple,sexual anatomy / sexual acts,2.0,Strong
nonce,other / general insult,1.4,Mild
nut butter,bodily fluids / excrement,1.4,Mild
nutsack,sexual anatomy / sexual acts,1.8,Strong
nymph,sexual anatomy / sexual acts,1.0,Mild
pussy,sexual anatomy / sexual acts,1.2,Mild
oven dodger,racial / ethnic slurs,2.0,Strong
penis,sexual anatomy / sexual acts,1.8,Strong
paki,racial / ethnic slurs,2.6,Severe
palm jockey,sexual anatomy / sexual acts,1.2,Mild
pancake face,racial / ethnic slurs,1.6,Strong
pecker,sexual anatomy / sexual acts,1.4,Mild
pedophile,sexual anatomy / sexual acts,2.2,Strong
peter puffer,sexual anatomy / sexual acts,1.0,Mild
pillow biter,sexual anatomy / sexual acts,2.4,Strong
piss,bodily fluids / excrement,1.4,Mild
pole licker,sexual anatomy / sexual acts,2.2,Strong
pole smoker,sexual anatomy / sexual acts,2.0,Strong
pole sucker,sexual anatomy / sexual acts,1.8,Strong
polesmoker,sexual anatomy / sexual acts,2.2,Strong
porch monkey,racial / ethnic slurs,3.0,Severe
prick,sexual anatomy / sexual acts,1.0,Mild
pull the pud,sexual anatomy / sexual acts,1.2,Mild
punani,sexual anatomy / sexual acts,1.8,Strong
punta,sexual orientation / gender,1.8,Strong
queer,sexual orientation / gender,3.0,Severe
retarded,mental disability,2.8,Severe
raghead,racial / ethnic slurs,3.0,Severe
ramrod,sexual anatomy / sexual acts,1.0,Mild
reacharound,sexual anatomy / sexual acts,1.2,Mild
rectum,sexual anatomy / sexual acts,1.0,Mild
redskin,racial / ethnic slurs,2.2,Strong
monkey,racial / ethnic slurs,3.0,Severe
rim job,sexual anatomy / sexual acts,2.0,Strong
slut,sexual orientation / gender,1.8,Strong
sadomasochism,sexual anatomy / sexual acts,1.0,Mild
ballsack,sexual anatomy / sexual acts,1.0,Mild
salad tosser,sexual anatomy / sexual acts,2.0,Strong
sambo,racial / ethnic slurs,2.2,Strong
sausage jockey,sexual anatomy / sexual acts,2.6,Severe
schlong,sexual anatomy / sexual acts,1.0,Mild
scum,other / general insult,1.2,Mild
scut,other / general insult,1.0,Mild
shemale,sexual orientation / gender,2.6,Severe
shiester,racial / ethnic slurs,2.0,Strong
shlong,sexual anatomy / sexual acts,1.0,Mild
shylock,racial / ethnic slurs,1.6,Strong
sissy,sexual orientation / gender,1.0,Mild
slant eye,racial / ethnic slurs,3.0,Severe
slag,sexual orientation / gender,1.6,Strong
slit,sexual orientation / gender,1.6,Strong
snatch,sexual anatomy / sexual acts,1.0,Mild
spank,sexual anatomy / sexual acts,1.0,Mild
sperm,bodily fluids / excrement,1.0,Mild
sphincter,sexual anatomy / sexual acts,1.0,Mild
spic,racial / ethnic slurs,3.0,Severe
spook,racial / ethnic slurs,3.0,Severe
spunk,bodily fluids / excrement,1.2,Mild
stump chewer,sexual anatomy / sexual acts,1.4,Mild
suck,sexual anatomy / sexual acts,1.0,Mild
swine,animal references,1.0,Mild
tacohead,racial / ethnic slurs,2.4,Strong
tadger,sexual anatomy / sexual acts,1.4,Mild
taking the piss,bodily fluids / excrement,1.0,Mild
tallywacker,sexual anatomy / sexual acts,1.2,Mild
tar-baby,racial / ethnic slurs,2.6,Severe
tart,mental disability,1.2,Mild
throat yogurt,bodily fluids / excrement,1.8,Strong
throater,sexual anatomy / sexual acts,2.4,Strong
tickle the pickle,sexual anatomy / sexual acts,1.2,Mild
tit,sexual anatomy / sexual acts,1.0,Mild
tosser,other / general insult,1.2,Mild
tossing salad,sexual anatomy / sexual acts,1.8,Strong
towelhead,racial / ethnic slurs,3.0,Severe
tramp,sexual orientation / gender,1.6,Strong
tranny,sexual orientation / gender,2.8,Severe
transvestite,sexual orientation / gender,2.4,Strong
trouser snake,sexual anatomy / sexual acts,1.0,Mild
trousersnake,sexual anatomy / sexual acts,1.4,Mild
turd,other / general insult,1.6,Strong
twat,sexual anatomy / sexual acts,1.8,Strong
twink,sexual orientation / gender,1.2,Mild
upskirt,sexual anatomy / sexual acts,1.4,Mild
vagina,sexual anatomy / sexual acts,1.2,Mild
vulva,sexual anatomy / sexual acts,1.0,Mild
wank,sexual anatomy / sexual acts,1.2,Mild
wang,sexual anatomy / sexual acts,1.4,Mild
wetback,racial / ethnic slurs,2.6,Severe
weenie,sexual anatomy / sexual acts,1.0,Mild
weiner,sexual anatomy / sexual acts,1.0,Mild
whack off,sexual anatomy / sexual acts,1.2,Mild
willy-whacker,sexual anatomy / sexual acts,1.8,Strong
window licker,mental disability,1.8,Strong
zipperhead,racial / ethnic slurs,1.4,Mild
